Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Big Boys Don't Cry,(2020),"Biography,Crime,Drama","Paul Connolly (Michael Socha) recalls his harrowing childhood growing up in a children's home following a police investigation into his boyhood friend's suicide. As Paul struggles to build ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BOGRkNzI2OTQtNGM2Yy00ZWM3LTk2YTMtNDg0ZmMwZDdmMTFhXkEyXkFqcGdeQXVyMTg1MDEyMjk@._V1_UY98_CR0,0,67,98_AL_.jpg",9797932,https://www.imdb.com/title/tt9797932/,90 min,NA,740,6.8
GLOW,(2017–2019),"Comedy,Drama,Sport",A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.,"https://m.media-amazon.com/images/M/MV5BY2RjYzFkZDUtYzNjNC00MzEyLWFmZmItODc2YWFlOWExOWI4XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX67_CR0,0,67,98_AL_.jpg",5770786,https://www.imdb.com/title/tt5770786/,35 min,18,"47,370",8.0
Incredibles 2,(2018),"Animation,Action,Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,"https://m.media-amazon.com/images/M/MV5BMTEzNzY0OTg0NTdeQTJeQWpwZ15BbWU4MDU3OTg3MjUz._V1_UX67_CR0,0,67,98_AL_.jpg",3606756,https://www.imdb.com/title/tt3606756/,118 min,UA,"301,050",7.6
1408,(2007),"Fantasy,Horror,Mystery","A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.","https://m.media-amazon.com/images/M/MV5BMjQ2ODkxMjc4OV5BMl5BanBnXkFtZTgwMTgzNzQyMTI@._V1_UX67_CR0,0,67,98_AL_.jpg",0450385,https://www.imdb.com/title/tt0450385/,104 min,A,"277,839",6.8
Wrong Turn,(2021),"Horror,Thriller","Friends hiking the Appalachian Trail are confronted by 'The Foundation', a community of people who have lived in the mountains for hundreds of years.","https://m.media-amazon.com/images/M/MV5BM2Y5ZWE2MTMtODE3ZC00NWQ4LWJkNzctNGY4Njg5NDY5MzNlXkEyXkFqcGdeQXVyNjUxMjc1OTM@._V1_UX67_CR0,0,67,98_AL_.jpg",9110170,https://www.imdb.com/title/tt9110170/,109 min,A,"32,139",5.5
High School DxD,(2012–2018),"Animation,Action,Comedy","After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.","https://m.media-amazon.com/images/M/MV5BYjhlYWI2MGUtNjk4ZS00OWJjLWJiZTEtYWYxNTY5MzVhYzI0XkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_UY98_CR0,0,67,98_AL_.jpg",2230051,https://www.imdb.com/title/tt2230051/,23 min,18,"11,347",7.6
Valerian and the City of a Thousand Planets,(2017),"Action,Adventure,Fantasy","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.","https://m.media-amazon.com/images/M/MV5BMTkxMDAxNDUyNV5BMl5BanBnXkFtZTgwOTc3MzcxMjI@._V1_UX67_CR0,0,67,98_AL_.jpg",2239822,https://www.imdb.com/title/tt2239822/,136 min,UA,"184,229",6.4
How the Grinch Stole Christmas,(2000),"Comedy,Family,Fantasy","On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.","https://m.media-amazon.com/images/M/MV5BNWNiNTczNzEtMjQyZC00MjFmLTkzMDMtODk4ZGMyZmE0N2E4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",0170016,https://www.imdb.com/title/tt0170016/,104 min,U,"265,612",6.3
"Dr. Quinn, Medicine Woman",(1993–1998),"Drama,Family,Western",The trials and adventures of a female doctor in a small Wild West town.,"https://m.media-amazon.com/images/M/MV5BZjg3OGRlMDUtMTk2NS00M2FjLTgxOWEtYmQ0M2ZkN2QzZDJkXkEyXkFqcGdeQXVyNDYwMjI1MzI@._V1_UY98_CR1,0,67,98_AL_.jpg",0103405,https://www.imdb.com/title/tt0103405/,60 min,NA,"12,626",6.8
Trauma,(II) (2017),"Action,Drama,Horror","Four friends, partying in a house in the middle of nowhere are brutally attacked by a man and his son, forcing the remaining women to take vengeance upon them.","https://m.media-amazon.com/images/M/MV5BZmIzN2ZkNDEtNjJmNS00ZDNmLWE3YTctN2UwZTdjYzIyZDkzXkEyXkFqcGdeQXVyMTI0NTEyNzU@._V1_UX67_CR0,0,67,98_AL_.jpg",6705640,https://www.imdb.com/title/tt6705640/,106 min,NA,"1,815",5.0
